question,answer
"What is the return policy of the products?","You can return products within 30 days of delivery for a full refund or exchange."
"What is the return policy?","You can return products within 30 days of delivery for a full refund or exchange."
"Do I get discount with the HDFC credit card?","Yes, HDFC credit card users get a 10% instant discount on select items."
"How can I track my order?","You can track your order using the tracking link sent to your email after shipment."
"What payment methods are accepted?","We accept credit/debit cards, net banking, UPI, wallets, and cash on delivery."
"Do you accept online payment?","Yes, we accept online payments via credit/debit cards, net banking, UPI, and digital wallets."
"How long does it take to process a refund?","Refunds are processed within 5-7 business days after the return is received and verified."
"Are there any ongoing sales or promotions?","Yes, check our Deals section for ongoing sales, discounts, and promotional offers."
"Can I cancel or modify my order after placing it?","You can cancel or modify your order within 1 hour of placing it through your account."
"Do you offer international shipping?","Yes, we offer international shipping to select countries. Check shipping policy for details."
"What should I do if I receive a damaged product?","Contact our support team within 48 hours with photos for a quick replacement or full refund."
"How do I use a promo code during checkout?","Enter your promo code in the designated promo code field during the checkout process."
"Is cash on delivery available?","Yes, we offer cash on delivery (COD) option for orders within India."
"What is your exchange policy?","We offer free exchanges within 30 days if the product does not fit or meet your expectations."
"How long does shipping take?","Standard shipping takes 3-7 business days. Express shipping is available at an additional cost."
